base_id,name,lat,lon,distance_km,travel_h,freshness_pct
318,弥勒市康辉兰花种植园,24.424098,103.431334,131.78,1.4308,86.67
319,云南西露斯园艺有限公司非洲菊项目基地,23.572812,103.344166,229.04,2.3603,78.98
320,竹园白家贵种植园苗场,24.13502,103.411355,158.53,1.6628,84.68
321,蒙自市谷润种苗园,23.509334,103.360083,241.19,2.6841,76.46
322,蔓金二级路2号便道苗圃,23.00337,103.319589,355.45,3.6617,69.34
323,红河国际兰花种植交流中心,23.466682,103.383996,259.18,2.7912,75.64
324,蒙自盖茨比玫瑰产业庄园,23.323225,103.387765,250.87,2.6578,76.66
325,红聚源兰花种植基地,23.331266,103.440664,253.72,2.6525,76.7
326,范宝育苗基地,24.633717,103.71112,163.16,1.802,83.51
327,红河绿源苗圃,24.521114,103.731958,149.23,1.5698,85.47
328,泸西职中园艺基地,24.56594,103.749166,152.88,1.6213,85.03
329,艾植悟多肉种植园,24.613645,103.806709,169.95,1.7578,83.88
330,石屏通达兰业有限公司,23.640783,102.575379,201.8,2.1776,80.43
331,沐沐种植基地,23.606636,102.804755,178.81,1.9092,82.62
332,极丽花园多肉基地,25.722657,100.175802,346.81,3.652,69.41
333,鹤庆金墩小白龙现代农业产业园-花卉种植基地,26.479009,100.185081,427.1,4.3349,64.82
334,花伴一生玫瑰生活体验馆,25.759572,100.139053,352.83,3.6819,69.2
335,九鼎花卉云南驿基地,25.385737,100.73493,262.57,2.7352,76.07
336,双阳花卉种植园,25.7323,100.137274,349.04,3.596,69.8
337,落依花坊,25.8253,100.5957,326.97,3.3383,71.62
338,茶林花卉园艺场,25.25646,100.291311,357.56,3.6402,69.49
339,宝玉花卉种植园,25.299736,100.501035,302.94,3.2275,72.42
340,大理市顺丰花卉种植园,25.628753,100.208657,335.03,3.4388,70.9
341,永平县畅想园艺花卉园,25.465658,99.520679,422.83,4.3419,64.78
342,九鼎花卉禾甸基地,25.522545,100.75796,287.88,2.9745,74.27
343,大理熊熊多肉基地(凤仪基地),25.605638,100.331737,325.18,3.3191,71.76
344,林家花园,25.485731,100.584146,278.98,2.838,75.29
345,大理碧源花卉种植有限公司,26.233826,99.970142,411.94,4.1691,65.91
346,越星花卉苗圃基地,25.828025,100.567875,329.12,3.3925,71.23
347,洱源大浪穹装饰行绿化苗木基地,26.133404,99.921923,,,
348,晨熙花卉苗圃,25.787726,100.503188,352.8,3.5763,69.93
349,沈家多肉花房,25.404976,100.214831,334.59,3.4144,71.07
350,刘厂镇青坡社区鲜花种植基地,25.480546,100.725053,271.38,2.8785,74.99
351,大理市创益园林苗圃,25.680824,100.181087,341.63,3.5383,70.2
352,春晓种苗,25.418648,100.427093,301.68,3.2308,72.39
353,云南怡品大马士革玫瑰种植基地,25.919522,100.266509,367.58,3.8922,67.76
354,云南兰花大叔(鹤庆基地),26.554675,100.213725,435.46,4.4217,64.26
355,一树75号小花田,25.740499,100.143324,350.74,3.6471,69.44
356,大理市林业种籽苗木站,25.702707,100.157934,346.12,3.5671,70.0
357,大理市清荣苗圃,25.649298,100.198137,340.38,3.5175,70.35
358,大理市新卫苗圃,25.640571,100.203771,341.49,3.5361,70.22
359,大理市顺东苗圃,25.643723,100.208736,336.22,3.448,70.84
360,子玥苗木种植合作社,25.646725,100.212375,336.34,3.45,70.82
361,小孔阳光玫瑰基地,25.888266,100.520419,335.86,3.4069,71.13
362,大理春沐源玫瑰园基地,25.289703,100.526199,304.12,3.2725,72.09
363,鑫扬育苗场,25.763593,100.579312,326.55,3.321,71.74
364,沙溪凡间多肉园,26.307295,99.843258,468.82,4.7607,62.12
365,洱源三营伟业苗木基地,26.183172,99.961199,405.14,4.0997,66.37
366,洱源国雄果树盆景园,26.102025,99.967025,402.75,4.1618,65.96
367,拾光印迹多肉基地,25.760575,100.141275,353.36,3.6965,69.1
368,宜良苗圃,25.702251,100.172573,344.02,3.5782,69.92
369,大理市盛欣苗圃,25.646002,100.202604,336.8,3.4578,70.77
370,大理市小曹苗圃,25.641621,100.203193,341.36,3.5339,70.23
371,大理市福顺苗圃,25.640026,100.204342,341.56,3.5371,70.21
372,景程苗圃,25.633301,100.209101,342.58,3.5542,70.09
373,大理翠森园林苗圃基地,25.630729,100.209299,334.9,3.4261,70.99
374,大理市城祥苗木场,25.644925,100.212375,336.14,3.4468,70.84
375,祖文兰苑国兰养殖基地,25.635839,100.211601,335.31,3.4329,70.94
376,在山草堂·兰花种植基地,25.570806,100.256944,332.0,3.4332,70.94
377,云哲苗圃,25.706489,100.48892,333.74,3.4981,70.48
378,弥渡木古兰绿化园艺场,25.348925,100.492325,296.71,3.1584,72.92
379,青蓝多肉基地,25.309695,100.492222,301.58,3.2154,72.5
380,美艳种植园,25.859661,100.598119,330.32,3.3758,71.35
381,一马平川青花椒育苗基地,25.859775,100.599475,330.32,3.3758,71.35
382,北经庄大理市德烨苗圃,25.653492,100.198913,340.05,3.5121,70.38
383,花恋语,25.690415,100.51401,331.59,3.4705,70.68
384,大理阿伊玫瑰园,25.73645,100.135336,349.57,3.6026,69.75
385,丽江现代花卉产业园区地香集团玫瑰种植基地,26.803306,100.293878,465.91,4.7244,62.35
386,羽佳园艺花圃园林景观,26.880354,100.192949,481.58,4.941,61.01
387,玉龙县云花坞花卉基地,26.837587,100.226335,476.19,4.8622,61.49
388,古城区璟琇花卉园艺,26.82371,100.275019,475.85,4.886,61.35
389,丽江现代花卉产业园区食用玫瑰种植基地,26.803275,100.290375,465.64,4.7153,62.4
390,七星众诚园艺花卉有限公司,26.839979,100.227801,477.91,4.9212,61.13
391,丽江注定红农业科技有限公司种植基地,26.822285,100.275015,476.0,4.891,61.32
392,正良苗圃,26.841409,100.245126,474.6,4.842,61.62
393,丽江地香食用玫瑰种植基地,26.803301,100.291275,465.64,4.7153,62.4
394,腾冲市花满园花卉种植园,25.082869,98.473099,641.89,6.6065,51.65
395,隆阳区金笑花卉种植园,25.037264,99.159213,503.71,5.0963,60.07
396,保山市仟红花卉种植园,25.08676,99.143736,500.57,5.0924,60.1
397,隆阳区益益园林花卉,25.05213,99.158737,501.67,5.0649,60.26
398,张家花圃,25.045222,99.158938,517.2,5.2203,59.33
399,艾家月季花卉种植园,25.144931,99.181137,495.3,5.0486,60.36
400,微微花卉种植园,25.145925,99.182094,495.3,5.0486,60.36
401,全承花卉种植园,24.720998,98.806701,589.04,6.0131,54.81
402,维兴花卉种植园,25.004441,99.373764,535.04,5.3994,58.28
403,隆阳区一亩三分地苗圃,25.085697,99.198592,499.21,5.1271,59.89
404,隆阳区辛街乡龙洞育苗地,24.95459,99.214961,523.89,5.4121,58.2
405,腾冲市固东镇林川苗木种植基地,25.28703,98.49779,667.05,7.1049,49.14
406,苗圃基地,25.048181,98.499373,637.48,6.4628,52.4
407,山富水金桂花苗圃,24.985309,98.51237,631.92,6.3775,52.85
408,东林园艺,25.036947,98.525163,636.52,6.4549,52.44
409,怡然苗场,25.397013,98.86771,538.77,5.5806,57.23
410,隆阳区马家苗圃,25.044355,99.158646,502.98,5.0868,60.13
411,隆阳区红源苗圃,25.045975,99.159725,517.35,5.2218,59.32
412,洁露苗圃林场,25.036396,99.167182,507.86,5.1711,59.62
413,银运苗圃,25.216075,99.222675,486.85,4.96,60.9
414,保山多肉基地,25.157164,99.23308,490.87,4.9928,60.7
415,沄箐多肉种植基地,25.123825,99.267875,510.86,5.4307,58.1
416,昌宁县福荟园艺苗圃园,24.694378,99.47859,597.44,6.6645,51.35
417,胆扎茶花基地,25.492635,98.284781,706.39,7.5282,47.1
418,诚信苗圃,25.45865,99.240766,465.32,4.7699,62.07
419,小穆仙人掌种植基地,24.548147,99.331625,621.73,6.5602,51.89
420,春意花卉坊,22.995175,104.394825,366.36,3.8002,68.38
421,清香堂花卉苗木基地,23.35437,104.199496,307.75,3.1263,73.15
422,文山州林草保障性苗圃,23.347415,104.204077,306.96,3.1131,73.25
423,和谐园艺-文山州蘭花种植产业园区,23.403466,104.252373,305.99,3.1303,73.12
424,天华园艺,22.976903,104.431537,372.68,3.895,67.74
425,砚山县平远觐川盆景苗圃绿化园,23.730673,103.77193,240.47,2.5527,77.47
426,茗优农业开发有限公司育苗场,23.759895,103.828803,240.4,2.506,77.83
427,仙人掌种植基地,24.061896,104.122028,328.02,3.4824,70.59
428,农之星育苗(1苗厂),23.726673,104.207312,279.89,2.8813,74.97
429,文山市江南园艺中心,23.404018,104.252562,305.95,3.1289,73.13
430,文山速植苗圃,23.331818,104.282804,316.41,3.3414,71.6
431,同创农业(盘龙育苗基地),23.480175,104.385975,316.86,3.3724,71.37
432,云南坤泓农业有限责任公司种苗基地,22.961437,104.35621,372.23,3.8735,67.89
433,马关森田花圃,23.037025,104.380041,360.25,3.7238,68.91
434,文山州林草保障性苗圃(马关县金城国有林场),23.022511,104.418834,365.47,3.7891,68.46
435,富宁县保障性苗圃生产管理区,23.624825,105.574375,450.77,4.6605,62.75
436,古龙矮化大红八角嫁接苗场富宁总场,23.651735,105.60262,447.88,4.5578,63.4
437,云南省普洱市景谷县碧安乡碧安古镇秋榜兰花小福兰艺花卉种植基地,23.066483,100.448254,521.28,6.0206,54.77
438,普洱市景谷县永平镇磊鑫苗场苗圃,23.419887,100.391831,497.8,5.6599,56.78
439,普洱南仙谷农业开发有限公司,22.786984,100.87572,412.42,4.1908,65.77
440,云芳苗圃,22.822675,100.987275,400.89,4.0865,66.45
441,孟连金辉苗圃,22.372746,99.665291,581.78,5.9734,55.03
442,糯扎渡小刚苗圃黑河基地,22.634038,100.114773,519.35,5.3551,58.54
443,龙景园林绿化有限公司,24.478935,100.819376,399.87,4.0766,66.52
444,镇沅八桂种苗苗圃基地,24.068326,100.806101,381.15,3.8957,67.73
445,景东亿佳苗木种植园,24.423975,100.856325,395.1,4.0708,66.56
446,普洱市光明苗圃,22.832185,100.973942,399.86,4.0742,66.54
447,花农世家,22.809344,100.99749,402.63,4.1156,66.26
448,祖强苗圃基地,22.609499,101.447925,483.5,5.0779,60.18
449,孟连应园苗圃,22.33852,99.609482,589.93,6.0977,54.35
450,孟连岩根苗圃,22.397506,99.710089,576.5,5.9074,55.39
451,澜沧洪源葡莲种植农场,22.717675,99.817125,571.3,5.8576,55.67
452,正发苗圃,22.470837,99.984929,542.69,5.4847,57.78
453,万竹源种植基地,22.456975,100.590875,483.46,5.0083,60.6
454,南岛河茶城兰语榜兰养植园,22.632316,100.997183,425.0,4.297,65.07
455,镇沅爱上花园艺,23.93144,101.425914,269.31,2.9064,74.78
456,西双版纳茂园苗木花卉有限责任公司,21.939565,100.76429,533.33,5.4173,58.17
457,曼岗纳花卉园,21.499918,101.583389,629.99,6.4121,52.67
458,嘎洒仕运花卉苗圃基地,21.942375,100.770725,530.03,5.3811,58.39
459,景洪市市政苗木花卉培育实验基地,22.006925,100.7677,523.47,5.3475,58.58
460,长毛苗场新基地,21.997575,100.251225,591.93,6.0482,54.62
461,西双版纳林丰绿化种苗有限公司,21.950079,100.394527,573.35,5.8005,55.99
462,勐海创兴苗场,21.850485,100.409872,578.97,5.9126,55.36
463,勐往乡曼东苗场,22.326788,100.487328,524.38,6.062,54.54
464,景洪嘎洒张小明苗木基地二,21.936161,100.725722,533.66,5.4214,58.15
465,景洪市嘎洒青园苗圃,21.938293,100.748316,532.67,5.414,58.19
466,景洪嘎洒小施东红苗圃,21.942274,100.754334,531.57,5.4002,58.27
467,小邢苗木,21.942577,100.754674,531.57,5.4002,58.27
468,景洪市新兴苗圃,21.938469,100.756174,532.56,5.4076,58.23
469,西双版纳润景苗木种植专业合作社2基地,21.93907,100.765677,533.44,5.4186,58.17
470,景洪嘎洒张小明苗木,21.943362,100.773211,530.03,5.3811,58.39
471,景洪市嘎洒宏运花圃基地,21.941862,100.777047,530.9,5.3956,58.3
472,景洪嘎洒承富苗圃,21.943458,100.777522,531.12,5.3946,58.31
473,景洪嘎洒森木果苗繁育基地,21.789702,100.77397,549.65,5.708,56.51
474,景洪市优源棋楠苗圃有限公司,22.018492,100.844085,519.67,5.24,59.21
475,普文嘉毅园林绿化基地,22.554125,101.036925,432.31,4.3884,64.48
476,景洪市普文江景苗圃,22.446775,101.035575,451.62,4.5918,63.18
477,勐腊县榴莲苗木园,21.441515,101.297294,634.13,6.5095,52.15
478,勐腊陌上花园艺场,21.476006,101.572941,628.35,6.3974,52.74
479,迷您花奔种植园,21.520774,101.578074,631.83,6.418,52.63
480,王山苗圃,21.496322,101.588172,629.99,6.4121,52.67
481,景洪嘎洒林山苗圃二基地,21.935914,100.721057,533.72,5.4221,58.15
482,景洪皓翔园林,21.938387,100.74855,531.57,5.3953,58.3
483,景洪市嘎洒龙森苗圃,21.938225,100.755975,532.56,5.4076,58.23
484,双林园艺,22.517509,101.055117,437.37,4.4517,64.07
485,勐腊勐仑焕朝园林园艺绿化苗圃,21.916266,101.239374,549.98,5.5429,57.45
486,格桑花卉玫瑰园,27.799928,99.684138,615.45,6.2382,53.59
487,香格里拉苗圃,27.761757,99.699554,612.2,6.1845,53.88
