factory_id,factory_lat,factory_lon,store_id,store_lat,store_lon,distance_km,travel_h
5,25.062277,102.662083,36,25.039971,102.711598,7.93,0.1437
5,25.062277,102.662083,50,25.065918,102.723109,7.94,0.1405
5,25.062277,102.662083,14,25.044113,102.70872,8.08,0.154
5,25.062277,102.662083,9,25.040698,102.708656,8.15,0.1493
5,25.062277,102.662083,1,25.038232,102.709463,8.33,0.1582
5,25.062277,102.662083,6,25.038259,102.709537,8.33,0.1582
5,25.062277,102.662083,23,25.038231,102.709577,8.33,0.1582
5,25.062277,102.662083,59,25.035963,102.712313,8.35,0.1438
5,25.062277,102.662083,2,25.038431,102.708774,8.41,0.1608
5,25.062277,102.662083,5,25.036758,102.711479,8.45,0.1455
5,25.062277,102.662083,7,25.036777,102.709338,8.66,0.1489
5,25.062277,102.662083,3,25.023279,102.713511,8.72,0.153
5,25.062277,102.662083,53,25.042435,102.722253,8.81,0.1573
5,25.062277,102.662083,24,25.036582,102.720998,9.21,0.1581
5,25.062277,102.662083,32,25.037792,102.720133,9.28,0.1593
5,25.062277,102.662083,47,25.029787,102.723431,9.65,0.1653
5,25.062277,102.662083,4,25.033193,102.720373,9.96,0.178
5,25.062277,102.662083,34,25.021039,102.723025,10.04,0.1792
5,25.062277,102.662083,22,25.01892,102.721192,10.06,0.18
5,25.062277,102.662083,41,25.029838,102.731797,10.44,0.181
5,25.062277,102.662083,16,25.007315,102.709421,10.64,0.1628
5,25.062277,102.662083,52,25.020036,102.709004,10.77,0.1663
5,25.062277,102.662083,10,25.008485,102.683689,11.01,0.1738
5,25.062277,102.662083,39,25.006938,102.710096,11.02,0.1744
5,25.062277,102.662083,35,25.01759,102.720254,11.17,0.1888
5,25.062277,102.662083,8,25.017778,102.718046,11.41,0.1917
5,25.062277,102.662083,18,25.030005,102.734582,11.42,0.2057
5,25.062277,102.662083,60,25.102171,102.731267,11.52,0.1869
5,25.062277,102.662083,40,25.107158,102.728729,11.62,0.1816
5,25.062277,102.662083,62,25.056526,102.734395,12.21,0.1749
5,25.062277,102.662083,63,25.103131,102.733174,12.33,0.2014
5,25.062277,102.662083,55,24.992294,102.684547,12.77,0.189
5,25.062277,102.662083,30,24.993108,102.684326,13.28,0.1976
5,25.062277,102.662083,67,25.006243,102.735529,13.36,0.1914
5,25.062277,102.662083,42,25.012332,102.741341,13.6,0.2041
5,25.062277,102.662083,28,24.985728,102.675479,14.11,0.2213
5,25.062277,102.662083,66,24.977922,102.713,16.15,0.2696
5,25.062277,102.662083,54,24.976499,102.763515,18.29,0.2946
5,25.062277,102.662083,11,24.975782,102.761436,18.36,0.2968
5,25.062277,102.662083,57,24.967684,102.666279,18.65,0.2449
5,25.062277,102.662083,64,24.953883,102.75418,20.74,0.3054
5,25.062277,102.662083,48,24.954918,102.754512,20.87,0.3117
5,25.062277,102.662083,51,24.951159,102.762866,23.08,0.3429
5,25.062277,102.662083,15,24.946946,102.766473,23.27,0.3379
5,25.062277,102.662083,33,24.967073,102.792852,25.37,0.3191
5,25.062277,102.662083,31,24.902825,102.788144,29.83,0.3602
5,25.062277,102.662083,61,24.903374,102.787903,29.83,0.3602
5,25.062277,102.662083,38,24.877277,102.825018,33.73,0.3914
5,25.062277,102.662083,49,24.880873,102.824558,34.51,0.4069
5,25.062277,102.662083,58,24.887839,102.825318,35.45,0.4187
5,25.062277,102.662083,43,24.856251,102.836921,36.04,0.4281
5,25.062277,102.662083,46,24.857566,102.860076,38.94,0.5048
6,24.910565,102.848473,58,24.887839,102.825318,4.78,0.0862
6,24.910565,102.848473,49,24.880873,102.824558,5.86,0.1089
6,24.910565,102.848473,38,24.877277,102.825018,6.08,0.1102
6,24.910565,102.848473,46,24.857566,102.860076,7.7,0.1834
6,24.910565,102.848473,43,24.856251,102.836921,8.5,0.1489
6,24.910565,102.848473,31,24.902825,102.788144,10.2,0.1877
6,24.910565,102.848473,61,24.903374,102.787903,10.2,0.1877
6,24.910565,102.848473,33,24.967073,102.792852,13.12,0.2352
6,24.910565,102.848473,51,24.951159,102.762866,15.77,0.2793
6,24.910565,102.848473,15,24.946946,102.766473,15.96,0.2743
6,24.910565,102.848473,64,24.953883,102.75418,16.0,0.2549
6,24.910565,102.848473,48,24.954918,102.754512,16.09,0.2599
6,24.910565,102.848473,54,24.976499,102.763515,16.79,0.2819
6,24.910565,102.848473,11,24.975782,102.761436,16.85,0.2841
6,24.910565,102.848473,66,24.977922,102.713,21.18,0.3539
6,24.910565,102.848473,18,25.030005,102.734582,22.42,0.3081
6,24.910565,102.848473,42,25.012332,102.741341,22.53,0.3139
6,24.910565,102.848473,35,25.01759,102.720254,23.23,0.3021
6,24.910565,102.848473,8,25.017778,102.718046,23.46,0.305
6,24.910565,102.848473,41,25.029838,102.731797,23.49,0.3208
6,24.910565,102.848473,24,25.036582,102.720998,24.11,0.3286
6,24.910565,102.848473,32,25.037792,102.720133,24.18,0.3298
6,24.910565,102.848473,47,25.029787,102.723431,24.21,0.3227
6,24.910565,102.848473,3,25.023279,102.713511,24.38,0.3235
6,24.910565,102.848473,53,25.042435,102.722253,24.53,0.3417
6,24.910565,102.848473,4,25.033193,102.720373,24.55,0.3361
6,24.910565,102.848473,30,24.993108,102.684326,24.67,0.3991
6,24.910565,102.848473,67,25.006243,102.735529,24.76,0.3363
6,24.910565,102.848473,34,25.021039,102.723025,24.8,0.3366
6,24.910565,102.848473,22,25.01892,102.721192,24.99,0.343
6,24.910565,102.848473,59,25.035963,102.712313,25.0,0.3434
6,24.910565,102.848473,5,25.036758,102.711479,25.1,0.3451
6,24.910565,102.848473,7,25.036777,102.709338,25.31,0.3486
6,24.910565,102.848473,1,25.038232,102.709463,25.5,0.3632
6,24.910565,102.848473,6,25.038259,102.709537,25.5,0.3632
6,24.910565,102.848473,23,25.038231,102.709577,25.5,0.3632
6,24.910565,102.848473,2,25.038431,102.708774,25.58,0.3659
6,24.910565,102.848473,36,25.039971,102.711598,25.64,0.3604
6,24.910565,102.848473,16,25.007315,102.709421,25.69,0.3563
6,24.910565,102.848473,26,25.032488,102.709097,25.78,0.362
6,24.910565,102.848473,56,25.045098,102.714254,25.81,0.3571
6,24.910565,102.848473,62,25.056526,102.734395,25.81,0.346
6,24.910565,102.848473,52,25.020036,102.709004,25.82,0.3598
6,24.910565,102.848473,39,25.006938,102.710096,25.84,0.3604
6,24.910565,102.848473,9,25.040698,102.708656,25.87,0.366
6,24.910565,102.848473,14,25.044113,102.70872,26.24,0.3826
6,24.910565,102.848473,13,25.050038,102.713552,26.31,0.3698
6,24.910565,102.848473,20,25.039458,102.708842,26.52,0.3786
6,24.910565,102.848473,27,25.03954,102.708709,26.52,0.3786
6,24.910565,102.848473,12,25.036139,102.711831,26.6,0.3701
6,24.910565,102.848473,45,25.035975,102.712825,26.68,0.3715
6,24.910565,102.848473,19,25.049371,102.707042,27.03,0.381
6,24.910565,102.848473,65,25.045393,102.699744,27.11,0.3972
6,24.910565,102.848473,50,25.065918,102.723109,27.28,0.3851
6,24.910565,102.848473,21,25.054849,102.704789,27.67,0.3991
6,24.910565,102.848473,29,25.048151,102.698887,27.83,0.3948
6,24.910565,102.848473,25,25.044307,102.698815,27.86,0.3939
6,24.910565,102.848473,28,24.985728,102.675479,28.77,0.3975
6,24.910565,102.848473,57,24.967684,102.666279,29.79,0.4145
6,24.910565,102.848473,44,25.037148,102.662709,30.97,0.4172
6,24.910565,102.848473,60,25.102171,102.731267,31.83,0.4403
6,24.910565,102.848473,63,25.103131,102.733174,32.33,0.4495
6,24.910565,102.848473,10,25.008485,102.683689,32.62,0.4122
6,24.910565,102.848473,55,24.992294,102.684547,33.33,0.4112
6,24.910565,102.848473,40,25.107158,102.728729,33.61,0.4602
6,24.910565,102.848473,37,25.062727,102.656527,33.78,0.4628
6,24.910565,102.848473,68,24.671241,102.915366,39.47,0.5011
7,25.003907,102.728798,67,25.006243,102.735529,0.75,0.0186
